Course_number_group,Term,Course_number,subject,score,course_units,Teacher
2531689_01,4031,2531689,مهندسي و علم مواد,10.75,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,11,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي كامپيوتر,11.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,19.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي مكانيك,11.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,20,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,12.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,16.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,13.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,20,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,آمار,----,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,15,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,12.75,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,11,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10.75,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,12.75,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,19.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,آمار,----,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,11.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,17.75,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,----,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,18,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,18.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,12,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,16.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,13.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,19,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,17.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,----,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,11.75,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,19,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي كامپيوتر,12.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,13.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,16,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,12.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,10,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,20,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,9.9,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,19.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,17.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي صنايع,----,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,18.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي مواد و متالورژي,----,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,13.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,19.5,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,مهندسي و علم مواد,12.25,4            ,اكرمي سنزيق سيدابراهيم
2531689_01,4031,2531689,آمار,----,4            ,اكرمي سنزيق سيدابراهيم
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,11.5,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,----,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,10,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,11.5,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,10,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,14.5,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,19.75,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,14,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,20,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,----,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,11.75,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,11,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,10,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,----,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,18,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,10,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,----,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,20,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,12,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,----,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,----,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,9.9,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,13.5,4            ,محجوب راضيه
2531689_02,4031,2531689,مهندسي عمران,16.5,4            ,محجوب راضيه
